Silver,fcc
Aluminium,fcc
Diamond,fcc
Chromium,fcc
Copper,fcc
Iron-alpha,bcc
Iron-Austenite,fcc
Iron-beta,bcc
Iron-delta,bcc
Magnetite,fcc
Manganese-gamma,bcc
Molybdnenum-bcc,bcc
Halite,fcc
Nickel-cubic,fcc
Silicon,fcc
Titanium-beta,bcc
Zirconium-bcc,bcc
Tungsten,bcc
Lithium,bcc
KCl,bcc
TiAl-Gamma,fcc
TiAl3,bcc
